DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
DIC,11,9,0.0079,0.0089,0.750,0.0331,32,2,15.2,1,243,64,617.3
DIC,11,10,0.0136,0.0094,0.930,0.0383,43,2,18.4,0.6,139,53,617.5
DIC,11,11,0.022,0.0089,0.810,0.0403,40,19,19.8,1.1,190,48,617.5
DIC,11,12,0.027,0.0094,0.610,0.0359,47,18,21.3,1.3,205,44,616.9
DIC,11,13,0.0264,0.0093,0.310,0.0243,47,13,23,1.6,242,36,616.2
DIC,11,14,0.0196,0.0086,0.200,0.0215,NA,37,24.1,2.3,272,32,615.3
DIC,11,15,0.0221,0.0084,0.200,0.02,NA,11,24.3,2.5,284,32,614.6
DIC,11,16,0.0231,0.0083,0.240,0.021,11,5,24.7,1.8,269,31,614.3
DIC,11,17,0.0213,0.0083,0.280,0.0227,16,12,24.5,2,288,31,614.3
DIC,11,18,0.0196,0.0085,0.320,0.0236,20,6,24.5,2.4,289,31,614.4
DIC,11,19,0.0111,0.0086,0.570,0.033,21,10,22.9,1.8,276,34,614.8
DIC,11,20,0.0063,0.0088,0.810,0.04,35,11,21.5,1.8,279,38,615.1
DIC,11,21,0.0034,0.0089,1.010,0.0427,64,18,19.9,0.4,102,43,615.6
DIC,11,22,0.0035,0.0091,1.100,0.0428,52,11,19.5,0.6,100,44,616
DIC,11,23,0.0026,0.0092,1.120,0.0426,59,17,18,0.5,140,50,616.3
DIC,12,0,0.0064,0.0086,0.410,0.0349,53,14,16.9,1.1,237,52,616.3
DIC,12,1,0.0098,0.0084,0.290,0.0308,24,9,16.3,0.8,285,55,616.1
DIC,12,2,0.01,0.0083,0.280,0.03,15,3,15.5,0.7,176,59,616.1
DIC,12,3,0.0108,0.0084,0.210,0.027,15,8,14.4,0.7,113,63,615.8
DIC,12,4,0.0112,0.0083,0.200,0.0247,12,8,14.1,0.5,99,64,615.7
DIC,12,5,0.0119,0.0083,0.170,0.023,14,5,13.7,0.8,216,66,615.8
DIC,12,6,0.0121,0.0082,0.190,0.0217,12,4,13.4,0.5,191,68,615.9
DIC,12,7,0.0081,0.0083,0.340,0.0274,9,1,13.4,0.5,173,69,616.2
DIC,12,8,0.0047,0.0085,0.510,0.0329,15,11,13.7,0.6,232,69,616.7
DIC,12,9,0.0076,0.0086,0.650,0.0315,24,3,16.4,0.8,236,60,617.1
DIC,12,10,0.0124,0.0085,0.860,0.0386,37,9,19.4,0.8,211,52,617.4
DIC,12,11,0.016,0.009,1.100,0.051,43,32,20.1,1,195,49,617.3
DIC,12,12,0.0298,0.0089,0.670,0.0393,76,22,21.9,1,166,45,616.8
DIC,12,13,0.0312,0.009,0.340,0.0254,78,12,23,1.4,207,41,616
DIC,12,14,0.0341,0.0091,0.330,0.0237,25,5,24.1,1.7,217,38,615.1
DIC,12,15,0.033,0.0089,0.370,0.0241,26,11,24.9,2.2,215,35,614.3
DIC,12,16,0.0291,0.0089,0.390,0.0239,33,13,25.3,2.3,218,32,613.9
DIC,12,17,0.0272,0.0088,0.380,0.0219,27,7,25.3,2.1,223,30,613.9
DIC,12,18,0.0226,0.0086,0.360,0.0204,22,11,24.9,1.9,238,25,614.1
DIC,12,19,0.0139,0.0087,0.590,0.0282,19,14,22.9,1.5,240,30,614.4
DIC,12,20,0.0142,0.009,0.630,0.0291,41,6,22,1.7,272,33,615
DIC,12,21,0.0075,0.0085,1.020,0.0389,30,10,20.5,1.1,205,38,615.4
DIC,12,22,0.0034,0.0089,1.210,0.0466,58,14,19.3,0.5,259,43,615.8
DIC,12,23,0.0051,0.0087,0.910,0.0435,56,22,17.5,0.7,157,51,616
DIC,13,0,0.0077,0.0083,0.730,0.0409,45,13,16.3,0.6,93,54,615.9
DIC,13,1,0.007,0.0082,0.690,0.0406,42,20,15.7,0.7,203,57,616
DIC,13,2,0.0065,0.0082,0.610,0.0383,34,17,14.8,0.6,82,61,616
DIC,13,3,0.0128,0.0081,0.420,0.028,34,13,14.3,0.8,188,64,616
DIC,13,4,0.0127,0.0083,0.420,0.028,31,12,14.1,0.9,185,66,615.8
DIC,13,5,0.0116,0.0081,0.420,0.0271,27,13,13.6,0.6,130,71,615.9
DIC,13,6,0.0117,0.0081,0.370,0.0254,22,10,13.2,0.7,124,78,616.3
DIC,13,7,0.0101,0.0082,0.450,0.0258,18,11,12.7,0.9,57,82,616.7
DIC,13,8,0.0077,0.0083,0.510,0.029,19,11,13.1,1,202,81,617.2
DIC,13,9,0.011,0.0083,0.470,0.0263,23,10,16.1,0.9,184,70,617.8
DIC,13,10,0.0144,0.0084,0.720,0.0377,23,7,18.8,0.7,169,61,618.2
DIC,13,11,0.0241,0.0083,0.660,0.0369,39,25,20.1,1,171,57,618.2
DIC,13,12,0.0301,0.0083,0.440,0.0296,50,25,21.6,1.2,192,50,617.7
DIC,13,13,0.0286,0.0086,0.380,0.0259,39,8,23,1.6,201,45,616.9
DIC,13,14,0.0278,0.0088,0.350,0.0236,29,6,23.7,1.5,195,40,616.1
DIC,13,15,0.0286,0.009,0.360,0.0232,20,1,24.8,1.7,204,37,615.4
DIC,13,16,0.0273,0.0088,0.340,0.0214,21,3,25.3,1.7,191,33,615.1
DIC,13,17,0.0242,0.0085,0.350,0.0203,21,7,25.6,1.8,200,28,615.1
DIC,13,18,0.022,0.0084,0.380,0.0193,16,10,25.2,1.3,261,28,615.3
DIC,13,19,0.0143,0.0089,0.640,0.0271,16,4,23.7,1.1,253,29,615.7
DIC,13,20,0.0083,0.0089,0.940,0.0337,35,14,22,0.6,160,34,616.2
DIC,13,21,0.0027,0.0091,1.330,0.041,51,14,20.7,0.6,175,38,616.6
DIC,13,22,0.0029,0.0088,0.950,0.037,65,8,18.9,0.6,200,43,616.9
DIC,13,23,0.0089,0.0085,0.490,0.0271,56,13,18.3,0.9,252,43,617.3
DIC,14,0,0.0061,0.0089,0.640,0.032,24,4,18.1,0.6,178,45,617.4
DIC,14,1,0.0078,0.0088,0.480,0.0297,25,22,17.4,0.6,178,49,617.2
DIC,14,2,0.0057,0.0089,0.640,0.034,17,4,17.6,0.1,145,48,617.3
DIC,14,3,0.0072,0.0088,0.440,0.029,23,11,16.8,0.5,66,51,617.1
DIC,14,4,0.0094,0.0087,0.350,0.0238,13,6,15.9,0.7,210,57,616.8
DIC,14,5,0.0103,0.0087,0.380,0.0255,17,6,15.9,0.3,186,58,617
DIC,14,6,0.0072,0.0093,0.520,0.0329,20,17,15.5,0.4,214,60,617.2
DIC,14,7,0.0026,0.0093,0.640,0.0392,37,18,15,1.1,207,58,617.5
DIC,14,8,0.0025,0.0097,1.110,0.0401,43,17,15,0.3,146,59,617.9
DIC,14,9,0.0041,0.0103,1.160,0.0461,59,19,16.8,0.4,181,57,618.2
DIC,14,10,0.0087,0.01,0.970,0.0504,68,27,17.6,1.2,215,56,618.4
DIC,14,11,0.019,0.0095,0.650,0.0484,75,23,19.5,1.3,198,52,618.4
DIC,14,12,0.0321,0.0092,0.440,0.0372,79,25,21.7,1.6,170,46,617.9
DIC,14,13,0.0341,0.0091,0.400,0.0334,47,22,22.9,1.6,157,43,617.3
DIC,14,14,0.0363,0.0092,0.360,0.0296,46,13,24.3,1.7,207,38,616.4
DIC,14,15,0.0393,0.0098,0.350,0.0271,45,17,25,1.7,210,35,615.7
DIC,14,16,0.0368,0.0105,0.370,0.0242,42,17,25.8,1.9,199,30,615.1
DIC,14,17,0.0321,0.0096,0.370,0.0236,41,16,25.6,1.8,222,28,614.9
DIC,14,18,0.0262,0.0097,0.430,0.0239,35,14,25.2,2.2,235,25,615.2
DIC,14,19,0.0165,0.0115,0.620,0.032,54,16,23.6,1.6,248,30,615.7
DIC,14,20,0.0105,0.011,0.800,0.0353,56,15,22.4,1.3,249,34,616.1
DIC,14,21,0.008,0.011,0.750,0.0353,50,13,21.4,1.5,247,39,616.5
DIC,14,22,0.014,0.0102,0.410,0.026,52,8,20.4,1.7,231,43,616.8
DIC,14,23,0.0093,0.0096,0.490,0.03,35,15,18.8,0.7,158,47,617.2
DIC,15,0,0.004,0.0092,0.750,0.0396,66,16,18.4,0.2,160,49,617.3
DIC,15,1,0.003,0.0091,0.780,0.0407,50,10,17.6,0.5,156,54,617.1
DIC,15,2,0.0043,0.0093,0.550,0.0365,40,23,16.5,0.6,119,59,617
DIC,15,3,0.0068,0.009,0.400,0.0302,32,11,15.3,0.7,116,63,616.7
DIC,15,4,0.0089,0.0089,0.330,0.0269,27,15,14.5,0.8,94,67,616.4
DIC,15,5,0.0093,0.0089,0.300,0.0259,19,12,13.8,0.5,88,73,616.4
DIC,15,6,0.0091,0.0088,0.340,0.0264,23,8,13.3,0.4,114,78,616.5
DIC,15,7,0.0056,0.0089,0.490,0.0336,28,14,13.1,0.7,155,81,616.6
DIC,15,8,0.0037,0.0089,0.700,0.0348,42,14,13.2,0.7,106,83,616.9
DIC,15,9,0.0049,0.0093,0.810,0.0353,47,12,14.7,0.6,156,80,617.4
DIC,15,10,0.0092,0.0098,0.750,0.0375,44,13,17.5,0.7,175,71,617.7
DIC,15,11,0.019,0.0095,0.620,0.0338,40,15,19.4,2.3,287,58,617.6
DIC,15,12,0.0215,0.0092,0.340,0.026,27,14,20.6,3.3,287,43,617.2
DIC,15,13,0.0219,0.0088,0.270,0.0199,26,NA,22.1,3.1,267,35,616.3
DIC,15,14,0.0224,0.0086,0.280,0.0178,25,NA,23.5,3.4,267,29,615.3
DIC,15,15,0.0231,0.0084,0.280,0.0171,28,NA,24.5,3.9,271,25,614.5
DIC,15,16,0.0224,0.0084,0.290,0.0181,41,NA,24.4,3.1,263,25,614.1
DIC,15,17,0.0236,0.0085,0.330,0.0197,27,5,24,2.6,269,26,614
DIC,15,18,0.0252,0.0089,0.460,0.025,37,9,23.3,1.9,288,28,614.2
DIC,15,19,0.0164,0.0087,0.640,0.0383,53,13,21.8,1.8,300,31,614.6
DIC,15,20,0.0118,0.0085,0.650,0.0398,50,17,20.5,1.5,314,33,615
DIC,15,21,0.0069,0.0087,0.910,0.0437,58,9,19.2,1.1,235,37,615.4
DIC,15,22,0.003,0.0089,0.950,0.045,56,13,17.7,1,234,41,615.7
DIC,15,23,0.0041,0.0088,0.540,0.0407,31,13,15.9,0.9,135,46,615.9
DIC,16,0,0.0065,0.0091,0.450,0.0355,22,5,15.8,0.5,82,45,615.9
DIC,16,1,0.0069,0.0127,0.340,0.0326,18,4,14.9,0.8,141,47,616
DIC,16,2,0.0107,0.0141,0.240,0.0262,15,3,14,0.6,246,49,615.9
DIC,16,3,0.0151,0.0089,0.190,0.02,8,9,13.3,0.4,343,50,615.9
DIC,16,4,0.0115,0.0085,0.230,0.0219,8,NA,12.8,0.4,279,52,615.8
DIC,16,5,0.0081,0.0084,0.250,0.0259,9,5,12.2,0.5,44,53,615.7
DIC,16,6,0.0082,0.0094,0.380,0.025,12,NA,11.3,0.6,64,56,615.9
DIC,16,7,0.0046,0.0094,0.440,0.028,13,8,10.7,0.4,43,57,616.2
DIC,16,8,0.0029,0.0129,0.970,0.0321,39,6,10.8,0.9,284,57,616.6
DIC,16,9,0.0061,0.0121,0.810,0.0307,44,NA,13.6,0.4,166,48,617
DIC,16,10,0.0112,0.0094,0.890,0.0351,41,4,16.7,0.7,190,40,617.1
DIC,16,11,0.0194,0.009,0.800,0.0391,42,15,18.6,1.2,213,35,617.1
DIC,16,12,0.0229,0.0087,0.470,0.0273,33,14,19.9,2.1,228,33,616.7
DIC,16,13,0.0231,0.0096,0.280,0.0181,17,6,21.1,2.2,225,30,615.9
DIC,16,14,0.0258,0.01,0.280,0.0173,20,NA,22.6,2.1,208,24,614.8
DIC,16,15,0.0295,0.0091,0.300,0.0178,19,3,23.7,2.1,206,22,614
DIC,16,16,0.0302,0.0089,0.330,0.0191,20,6,24.4,1.5,218,21,613.6
DIC,16,17,0.0292,0.0091,0.340,0.0193,23,7,24.9,1.7,219,20,613.6
DIC,16,18,0.0272,0.0086,0.390,0.0209,23,11,24.2,1,231,19,613.8
DIC,16,19,0.0104,0.0106,1.110,0.0435,71,19,22.2,1.1,275,22,614.1
DIC,16,20,0.0052,0.012,1.120,0.0474,62,20,20.9,0.4,105,24,614.5
DIC,16,21,0.0026,0.017,1.430,0.0496,89,23,18.7,0.9,243,30,615
DIC,16,22,0.0027,0.0114,1.230,0.048,68,22,17.5,0.7,158,33,615.4
DIC,16,23,0.0047,0.0114,0.870,0.0449,56,16,17,0.5,130,33,615.7
DIC,17,0,0.0045,0.0097,0.690,0.0427,45,15,16.2,0.6,157,34,616
DIC,17,1,0.0054,0.0095,0.720,0.0436,52,36,14.6,0.7,160,42,616
DIC,17,2,0.0183,0.0084,0.380,0.0321,26,12,13.4,0.6,166,42,616
DIC,17,3,0.0236,0.0084,0.310,0.0261,20,9,12.4,0.8,185,45,616
DIC,17,4,0.0264,0.0084,0.300,0.0217,15,9,12,0.7,207,46,616
DIC,17,5,0.026,0.0084,0.290,0.0205,18,8,11.8,0.9,234,46,616.1
DIC,17,6,0.0236,0.0083,0.320,0.0204,22,10,11.3,0.7,209,48,616.3
DIC,17,7,0.0179,0.0084,0.440,0.0251,28,12,11.3,0.5,197,48,616.8
DIC,17,8,0.0085,0.0085,0.750,0.0373,47,6,11.4,0.6,218,49,617.4
DIC,17,9,0.0081,0.0088,0.950,0.0376,65,10,14,0.6,164,44,618
DIC,17,10,0.0117,0.0121,1.170,0.0435,65,29,17.4,1.2,176,39,618.3
DIC,17,11,0.0187,0.0092,0.840,0.0442,85,31,18.5,1.1,192,41,618.4
DIC,17,12,0.0283,0.0087,0.420,0.0265,46,15,20.2,1.2,169,38,618.2
DIC,17,13,0.0317,0.0087,0.400,0.0237,41,11,21.5,1.3,180,36,617.6
DIC,17,14,0.0345,0.0088,0.380,0.0225,35,9,22.7,1.7,230,31,616.7
DIC,17,15,0.032,0.0086,0.290,0.0187,26,11,23.4,0.9,187,27,616.1
DIC,17,16,0.0334,0.0089,0.310,0.0175,25,5,24.3,1.7,191,27,615.8
DIC,17,17,0.0324,0.0087,0.360,0.0173,32,15,24.4,2,211,26,615.8
DIC,17,18,0.0285,0.0084,0.440,0.0207,32,13,23.7,0.5,192,25,615.9
DIC,17,19,0.0127,0.0089,1.050,0.042,55,13,22.3,0.5,255,27,615.9
DIC,17,20,0.0031,0.0106,1.740,0.0516,84,27,21.2,0.8,148,30,616.3
DIC,17,21,0.0027,0.0132,1.450,0.0465,97,24,19.1,0.2,169,38,616.9
DIC,17,22,0.0024,0.011,1.620,0.0468,94,32,18,0.8,171,40,617.6
DIC,17,23,0.0025,0.0121,1.430,0.0496,83,22,16.9,0.5,184,44,618
DIC,18,0,0.0043,0.0096,0.770,0.0445,56,25,15.5,1,243,47,618.2
DIC,18,1,0.0122,0.0088,0.440,0.0315,33,29,14.5,0.6,135,46,618.1
DIC,18,2,0.0161,0.0086,0.330,0.0251,19,10,13.7,0.9,242,46,617.9
DIC,18,3,0.0158,0.0086,0.280,0.0225,19,13,12.9,0.7,149,47,617.8
DIC,18,4,0.0167,0.0087,0.280,0.0196,21,6,12.3,0.9,190,50,617.7
DIC,18,5,0.0162,0.0085,0.280,0.0189,12,9,11.9,0.5,160,51,617.8
DIC,18,6,0.0162,0.0084,0.310,0.0189,24,6,11.6,0.9,249,52,618
DIC,18,7,0.0114,0.0084,0.420,0.0236,23,9,11.4,0.6,177,53,618.3
DIC,18,8,0.0065,0.0085,0.620,0.0315,40,14,11.5,0.3,270,53,618.7
DIC,18,9,0.0054,0.01,1.340,0.0382,73,11,13.2,0.4,139,49,619.3
DIC,18,10,0.0069,0.0107,1.390,0.0512,83,21,16.4,1,186,40,619.6
DIC,18,11,0.0167,0.0107,1.070,0.057,94,34,18,0.9,200,38,619.5
DIC,18,12,0.0282,0.0102,0.630,0.0395,69,32,20,1.2,183,38,619.2
DIC,18,13,0.0329,0.0097,0.480,0.0296,45,20,21.5,1.4,200,36,618.5
DIC,18,14,0.0352,0.0103,0.410,0.0255,37,16,22.8,1.3,201,31,617.7
DIC,18,15,0.0375,0.0114,0.430,0.0231,41,42,24.2,2.1,209,28,617.1
DIC,18,16,0.0328,0.0101,0.380,0.0209,32,22,24.8,1.8,217,26,616.7
DIC,18,17,0.031,0.0091,0.400,0.0197,32,16,24.9,1.9,232,25,616.5
DIC,18,18,0.0268,0.0097,0.460,0.0218,42,19,24.4,1.4,240,24,616.7
DIC,18,19,0.0182,0.0098,0.750,0.0313,55,16,22.5,1.6,262,30,617.1
DIC,18,20,0.0106,0.0098,0.900,0.0382,57,16,21.4,1.7,265,33,617.6
DIC,18,21,0.011,0.009,0.740,0.0362,43,16,20.4,0.9,271,37,618.1
DIC,18,22,0.0081,0.0091,0.860,0.0403,55,20,19,1.3,296,41,618.6
DIC,18,23,0.0119,0.0091,0.620,0.0313,50,20,18,0.5,115,44,618.8
DIC,19,0,0.0066,0.0095,0.800,0.0408,43,10,17.1,0.6,165,47,618.8
DIC,19,1,0.0109,0.0107,0.610,0.0344,37,15,16.5,0.5,89,50,618.6
DIC,19,2,0.0065,0.0111,0.730,0.0413,44,20,15.4,1.3,265,53,618.5
DIC,19,3,0.0158,0.0093,0.370,0.0249,29,18,14.4,0.9,281,56,618.1
DIC,19,4,0.0182,0.009,0.350,0.023,25,10,13.7,1.1,264,58,618.1
DIC,19,5,0.019,0.0088,0.330,0.0221,23,15,13.3,0.9,275,60,618.1
DIC,19,6,0.0177,0.0085,0.370,0.0219,21,14,12.9,0.3,37,63,618.3
DIC,19,7,0.0075,0.0105,0.760,0.0346,36,18,12.3,0.3,132,66,618.4
DIC,19,8,0.0038,0.0104,0.810,0.0383,44,20,12.1,0.5,84,68,618.6
DIC,19,9,0.0074,0.0124,0.870,0.0353,44,13,14.2,0.7,200,60,619.2
DIC,19,10,0.0116,0.0112,1.110,0.0453,55,21,16.9,1.3,203,51,619.5
DIC,19,11,0.0174,0.0099,0.950,0.0465,75,41,18.2,1.2,199,48,619.4
DIC,19,12,0.0287,0.0094,0.620,0.0344,55,18,20.6,1.3,196,40,618.9
DIC,19,13,0.0309,0.0102,0.430,0.0279,37,17,22.5,1.2,225,31,618.2
DIC,19,14,0.0367,0.0091,0.320,0.0201,23,NA,24.2,1.5,232,24,617.2
DIC,19,15,0.0352,0.0086,0.290,0.0176,18,10,24.9,1.6,255,19,616.5
DIC,19,16,0.0332,0.0085,0.280,0.0157,10,5,25.4,1.4,249,18,615.9
DIC,19,17,0.0322,0.0083,0.300,0.0154,17,7,25.6,1.8,295,17,615.8
DIC,19,18,0.0315,0.0084,0.360,0.0171,19,10,24.7,1,289,19,615.9
DIC,19,19,0.0151,0.0084,0.760,0.0393,34,15,22.7,0.6,200,21,616.2
DIC,19,20,0.0048,0.0088,1.030,0.0466,50,15,20.3,1,224,26,616.5
DIC,19,21,0.005,0.0087,0.960,0.0436,57,13,18.8,0.9,187,28,616.8
DIC,19,22,0.0046,0.0094,1.380,0.0484,76,19,18.1,0.8,224,30,617.2
DIC,19,23,0.0029,0.0089,1.000,0.0473,60,25,16.7,1.2,223,34,617.3
DIC,20,0,0.0101,0.0087,0.570,0.0373,36,18,16,1.2,235,34,617.2
DIC,20,1,0.0164,0.0086,0.420,0.0299,24,NA,15.6,1,267,35,617
DIC,20,2,0.0185,0.0085,0.350,0.0255,16,16,15.1,0.3,203,39,617
DIC,20,3,0.0094,0.0095,0.840,0.0387,54,19,14.6,0.1,158,40,617
DIC,20,4,0.0025,0.0098,1.320,0.0461,87,37,13.6,1,280,43,617
DIC,20,5,0.0078,0.0088,0.510,0.0379,32,22,12.7,0.6,269,48,616.9
DIC,20,6,0.0099,0.0088,0.480,0.0341,29,7,11.9,0.5,326,50,617
DIC,20,7,0.0085,0.0086,0.520,0.0337,27,10,11.7,0.4,265,50,617.2
DIC,20,8,0.0047,0.0088,0.730,0.0372,32,11,11.7,0.8,299,51,617.5
DIC,20,9,0.0116,0.0089,0.500,0.0306,41,8,12.9,0.7,185,48,618
DIC,20,10,0.0166,0.0091,0.650,0.0334,39,5,15.8,1.3,206,41,618.4
DIC,20,11,0.0227,0.0097,0.690,0.0386,65,28,17.5,1,215,40,618.2
DIC,20,12,0.0356,0.0094,0.550,0.0318,53,20,19.8,0.9,179,37,617.7
DIC,20,13,0.0422,0.0092,0.420,0.0277,42,11,22.1,1,235,31,616.9
DIC,20,14,0.0445,0.0093,0.400,0.0248,31,9,23.8,1.1,184,29,616
DIC,20,15,0.0423,0.0093,0.310,0.0221,25,12,24.6,1,186,27,615.4
DIC,20,16,0.0422,0.0095,0.320,0.02,32,17,25.3,0.9,172,25,615
DIC,20,17,0.0427,0.0096,0.330,0.0184,32,7,25.7,0.8,159,23,614.9
DIC,20,18,0.0386,0.0099,0.460,0.0247,34,23,24.7,0.2,155,25,614.9
DIC,20,19,0.0163,0.0098,1.140,0.0549,61,22,22.9,0.8,154,28,615.2
DIC,20,20,0.0057,0.0101,1.590,0.0566,77,27,20.7,0.8,223,33,615.6
DIC,20,21,0.0124,0.0092,0.900,0.0411,67,23,19,1.2,311,34,615.9
DIC,20,22,0.0143,0.0089,0.610,0.0324,45,15,18.4,1.7,289,38,616.3
DIC,20,23,0.0187,0.009,0.440,0.0263,32,14,18.4,1.1,258,48,616.4
DIC,21,0,0.0212,0.0087,0.390,0.0234,23,13,17.9,1.6,220,48,616.8
DIC,21,1,0.0143,0.0086,0.510,0.0332,58,16,16.3,0.3,284,52,616.8
DIC,21,2,0.0167,0.0086,0.400,0.026,46,19,15.7,0.9,226,56,616.8
DIC,21,3,0.0157,0.0085,0.370,0.0257,42,24,15,1,215,58,616.7
DIC,21,4,0.0158,0.0085,0.320,0.0254,31,16,13.6,0.5,274,64,616.5
DIC,21,5,0.0132,0.0085,0.330,0.028,26,13,13,0.7,271,66,616.5
DIC,21,6,0.0112,0.0084,0.370,0.0299,33,16,12.6,1.1,220,67,616.8
DIC,21,7,0.0129,0.0084,0.370,0.0309,29,20,12,0.5,205,74,617.5
DIC,21,8,0.013,0.0085,0.440,0.0324,31,15,12,0.4,201,77,618.1
DIC,21,9,0.0081,0.0088,0.930,0.0436,51,10,13.9,0.4,195,67,618.6
DIC,21,10,0.0116,0.0089,1.050,0.0471,67,19,15.9,1.2,184,59,618.9
DIC,21,11,0.0198,0.0088,0.830,0.0463,70,36,17.2,1.2,172,55,618.9
DIC,21,12,0.0261,0.0087,0.570,0.0378,64,31,19.1,1.2,186,50,618.6
DIC,21,13,0.0341,0.0088,0.450,0.0298,47,28,21.2,1.4,214,42,618
DIC,21,14,0.0404,0.0089,0.390,0.03,56,25,22.8,1.1,217,37,617.1
DIC,21,15,0.0411,0.0089,0.290,0.0248,33,19,23.8,1.1,209,31,616.4
DIC,21,16,0.0375,0.009,0.290,0.0246,31,47,23.7,0.9,170,30,616
