DATOS HORARIOS 2020_FACULTAD DE MEDICINA,,,,,,,,,,,,,
DIC,21,17,0.0385,0.0094,0.410,0.0305,38,NA,23.7,0.8,138,30,615.9
DIC,21,18,0.0263,0.0091,0.720,0.0316,50,NA,23.5,0.2,132,31,616.2
DIC,21,19,0.0146,0.0097,1.500,0.055,66,23,22.3,0.2,81,35,616.5
DIC,21,20,0.0026,0.0124,2.930,0.0681,113,29,21,0.5,74,39,616.9
DIC,21,21,0.0023,0.0113,1.880,0.0599,139,52,19,1,243,44,617.4
DIC,21,22,0.0063,0.0099,1.000,0.0506,82,34,17.7,1,245,46,617.7
DIC,21,23,0.0124,0.0095,0.760,0.0426,56,17,16.9,0.8,151,47,617.9
DIC,22,0,0.0135,0.0108,0.670,0.0386,54,30,16,1.2,281,50,618.1
DIC,22,1,0.0177,0.0085,0.510,0.0319,36,31,15.6,0.6,135,50,617.9
DIC,22,2,0.0211,0.0098,0.380,0.0263,30,22,14.8,0.8,178,50,617.9
DIC,22,3,0.0221,0.0094,0.330,0.0228,27,15,14.2,0.7,202,50,617.8
DIC,22,4,0.0228,0.0096,0.310,0.0208,24,15,13.7,0.7,202,52,618
DIC,22,5,0.0205,0.0083,0.340,0.0215,29,16,12.9,0.6,141,55,618.2
DIC,22,6,0.0189,0.0082,0.380,0.0234,30,19,12.2,0.5,103,57,618.3
DIC,22,7,0.0165,0.0081,0.500,0.0284,36,16,11.9,0.6,210,58,618.7
DIC,22,8,0.0098,0.0081,0.790,0.0399,60,17,12.2,0.6,257,58,618.9
DIC,22,9,0.0112,0.0085,0.990,0.0414,69,11,14.7,1,175,52,619.3
DIC,22,10,0.0093,0.0103,1.550,0.0609,109,24,17.1,1.1,185,48,619.7
DIC,22,11,0.0176,0.0103,1.200,0.0635,135,54,18.7,1.1,196,45,619.6
DIC,22,12,0.0357,0.009,0.580,0.0346,69,44,20.5,1.1,190,40,619.2
DIC,22,13,0.0423,0.0086,0.550,0.0313,54,23,22.5,1.2,198,33,618.5
DIC,22,14,0.04,0.0086,0.420,0.0259,33,24,23.7,1.3,196,29,617.6
DIC,22,15,0.0383,0.0086,0.400,0.0222,44,18,24.6,0.9,132,28,616.8
DIC,22,16,0.0387,0.0089,0.440,0.0224,37,17,24.9,0.9,169,26,616.4
DIC,22,17,0.0383,0.0087,0.480,0.0252,41,27,25.5,1.5,299,24,616.2
DIC,22,18,0.0274,0.0082,0.510,0.0251,29,23,24.4,1.2,264,20,616.3
DIC,22,19,0.0094,0.0081,0.930,0.0413,43,22,22.9,0.7,103,19,616.4
DIC,22,20,0.0033,0.0089,1.250,0.0486,58,27,20.5,0.6,50,24,616.8
DIC,22,21,0.0032,0.0145,1.410,0.0497,75,20,19,0.5,90,29,617.3
DIC,22,22,0.0024,0.0197,2.360,0.0529,105,42,18.8,0.5,117,31,617.8
DIC,22,23,0.0024,0.0108,1.600,0.0551,77,30,18,0.4,212,32,618.2
DIC,23,0,0.0025,0.0114,1.160,0.0535,63,24,16.8,0.8,152,37,618.2
DIC,23,1,0.0062,0.0092,0.670,0.0462,35,29,15.9,1.5,258,40,618
DIC,23,2,0.0154,0.0086,0.370,0.0328,18,13,15.2,1.6,301,42,617.9
DIC,23,3,0.0203,0.0085,0.260,0.0258,12,4,14.5,0.8,294,42,617.5
DIC,23,4,0.0206,0.0085,0.260,0.0224,12,12,13.8,1.1,289,44,617.3
DIC,23,5,0.0212,0.0084,0.240,0.0198,9,10,13.2,0.4,279,45,617.2
DIC,23,6,0.0148,0.0085,0.380,0.0259,18,7,12.3,0.3,197,49,617.7
DIC,23,7,0.0028,0.0098,0.880,0.044,57,23,11.4,0.5,118,53,618.1
DIC,23,8,0.0031,0.0092,0.750,0.0445,43,21,11.6,0.6,244,52,618.4
DIC,23,9,0.0065,0.0097,0.890,0.0428,48,NA,14.5,0.2,180,42,618.8
DIC,23,10,0.0112,0.0091,0.970,0.0464,46,12,18.6,1.2,195,33,619.2
DIC,23,11,0.0174,0.0097,1.470,0.0717,107,25,20.6,2,232,30,619
DIC,23,12,0.0224,0.0099,0.560,0.0393,51,38,22.6,2.3,269,24,618.4
DIC,23,13,0.0238,0.0085,0.290,0.0225,21,5,24.3,2.1,281,18,617.5
DIC,23,14,0.0259,0.0084,0.260,0.0192,14,5,25.1,2.2,271,16,616.4
DIC,23,15,0.0262,0.0083,0.270,0.0181,12,NA,26.2,2.1,253,13,615.6
DIC,23,16,0.0276,0.0083,0.270,0.0172,12,10,26.8,1.5,264,11,614.9
DIC,23,17,0.0276,0.0083,0.320,0.0181,18,5,27.1,1.9,261,10,614.6
DIC,23,18,0.0235,0.0086,0.420,0.0225,20,NA,26.2,1.1,279,11,614.7
DIC,23,19,0.007,0.0091,1.290,0.0485,68,20,24.1,1.5,290,13,615.1
DIC,23,20,0.003,0.0092,1.300,0.0565,80,32,22.2,0.7,168,17,615.5
DIC,23,21,0.0049,0.0092,1.210,0.0547,101,39,20.6,0.7,163,20,616.1
DIC,23,22,0.0054,0.0094,1.330,0.0606,83,21,19.5,0.5,189,22,616.6
DIC,23,23,0.0023,0.0104,1.710,0.0603,102,32,18.3,0.5,139,25,617
DIC,24,0,0.0024,0.0106,1.790,0.0576,79,39,16.9,0.6,128,27,617
DIC,24,1,0.0074,0.0086,0.580,0.043,35,18,15.5,0.3,227,30,616.9
DIC,24,2,0.0096,0.0084,0.430,0.0358,15,11,14.6,0.4,145,32,616.9
DIC,24,3,0.0034,0.0088,0.670,0.0428,35,15,14.1,0.7,156,35,616.9
DIC,24,4,0.0099,0.0082,0.370,0.0332,14,15,12.7,0.6,215,39,616.9
DIC,24,5,0.0147,0.0081,0.300,0.0266,16,10,11.9,0.6,155,40,617
DIC,24,6,0.0153,0.008,0.280,0.0238,16,8,11.4,0.7,46,40,617.3
DIC,24,7,0.0095,0.008,0.430,0.0288,17,8,10.5,0.7,116,41,617.6
DIC,24,8,0.0054,0.0081,0.610,0.0349,34,9,10.4,0.9,275,40,618
DIC,24,9,0.0066,0.0085,0.990,0.0348,55,NA,13.8,0.4,206,32,618.5
DIC,24,10,0.0139,0.0084,0.770,0.034,39,7,17.7,0.8,207,26,618.7
DIC,24,11,0.0204,0.0086,0.890,0.0429,48,18,19.6,1.2,215,24,618.8
DIC,24,12,0.0292,0.0088,0.820,0.0439,74,26,21.2,1.2,199,21,618.3
DIC,24,13,0.0342,0.0085,0.430,0.0249,30,16,22.9,1,185,17,617.6
DIC,24,14,0.0405,0.0085,0.420,0.0208,32,NA,24.6,1.2,204,15,616.6
DIC,24,15,0.0436,0.0088,0.430,0.0207,NA,11,25.6,1.3,222,15,615.9
DIC,24,16,0.044,0.0088,0.400,0.0197,31,27,26.2,1.1,190,14,615.5
DIC,24,17,0.0372,0.0087,0.380,0.0185,28,11,26.5,1.1,181,14,615.2
DIC,24,18,0.0324,0.0085,0.400,0.0191,18,14,25.8,1.9,281,14,615.3
DIC,24,19,0.0208,0.0086,0.680,0.0311,57,28,23.4,1.7,219,15,615.6
DIC,24,20,0.0214,0.0083,0.480,0.0226,75,16,21.2,2.1,281,19,616.1
DIC,24,21,0.0219,0.0093,0.480,0.0233,91,22,19.9,2.1,271,31,616.5
DIC,24,22,0.0225,0.0095,0.480,0.0247,86,30,18.8,1.2,184,33,617.2
DIC,24,23,0.0227,0.0089,0.580,0.0257,71,18,17.6,1.7,188,34,617.7
DIC,25,0,0.0129,0.0092,0.670,0.0317,103,32,15.5,1.3,234,42,618.1
DIC,25,1,0.0142,0.0093,0.670,0.029,99,35,14.3,1.5,239,46,618.2
DIC,25,2,0.0172,0.0091,0.520,0.0262,78,43,12.6,1.4,247,48,618.3
DIC,25,3,0.019,0.0088,0.470,0.0244,58,33,11.4,1.3,245,52,618.3
DIC,25,4,0.0196,0.0087,0.480,0.0246,59,30,10.8,1.3,254,56,618.3
DIC,25,5,0.0195,0.0089,0.500,0.0241,67,32,10.4,1.1,219,58,618.6
DIC,25,6,0.0197,0.0095,0.450,0.0226,53,28,9.9,0.8,182,61,618.8
DIC,25,7,0.0131,0.0091,0.580,0.0274,68,35,9.1,1.3,205,64,619.1
DIC,25,8,0.0104,0.0089,0.510,0.0301,55,35,8.4,0.8,167,66,619.6
DIC,25,9,0.0156,0.009,0.470,0.0266,57,15,9.2,0.6,136,63,620.1
DIC,25,10,0.0203,0.0095,0.520,0.0276,68,30,11.2,0.9,150,56,620.5
DIC,25,11,0.027,0.0096,0.450,0.0281,52,35,13.2,1,191,49,620.5
DIC,25,12,0.034,0.0089,0.430,0.0248,44,25,14.9,1.1,180,43,619.9
DIC,25,13,0.0359,0.0088,0.380,0.0214,31,15,17.1,1.2,191,37,619
DIC,25,14,0.0377,0.0087,0.400,0.0197,40,18,18.9,0.9,211,33,618
DIC,25,15,0.0411,0.0089,0.390,0.019,41,20,20.9,0.9,188,30,617.2
DIC,25,16,0.0425,0.009,0.440,0.0198,45,18,22.3,0.9,197,28,616.8
DIC,25,17,0.0378,0.0095,0.400,0.0191,40,29,23,0.8,163,28,616.4
DIC,25,18,0.0339,0.0094,0.490,0.0219,40,32,22.3,0.6,185,29,616.2
DIC,25,19,0.0256,0.0095,0.650,0.0316,53,35,20.8,0.7,232,33,616.3
DIC,25,20,0.0084,0.0096,1.280,0.0552,82,43,19.1,1,283,38,616.8
DIC,25,21,0.0096,0.0092,0.870,0.0434,75,40,16.9,1,215,41,617.2
DIC,25,22,0.0134,0.009,0.670,0.0386,51,30,15.9,0.9,223,41,617.6
DIC,25,23,0.0163,0.0087,0.520,0.032,44,31,15.1,0.6,169,42,617.8
DIC,26,0,0.0178,0.0086,0.470,0.0275,37,18,14.2,0.7,233,43,617.8
DIC,26,1,0.0189,0.0085,0.470,0.0276,37,16,13.8,0.7,131,44,617.6
DIC,26,2,0.0037,0.0091,1.050,0.0512,120,42,13.4,0.7,205,52,617.6
DIC,26,3,0.0119,0.0088,0.500,0.0328,36,50,12.1,0.5,120,52,617.3
DIC,26,4,0.0172,0.0084,0.400,0.0278,32,19,11.2,0.6,244,54,617
DIC,26,5,0.0193,0.0083,0.400,0.0255,33,15,11,0.5,86,55,616.9
DIC,26,6,0.0181,0.0083,0.420,0.0254,32,19,10.3,0.8,217,59,617.1
DIC,26,7,0.0157,0.0084,0.490,0.0277,37,16,10.2,0.5,135,59,617.4
DIC,26,8,0.0096,0.0086,0.680,0.0354,47,23,10,0.7,180,61,617.6
DIC,26,9,0.0135,0.0088,0.650,0.0339,53,11,12.5,0.6,229,53,618.1
DIC,26,10,0.0211,0.0094,0.680,0.0303,57,17,16.1,0.6,160,44,618.3
DIC,26,11,0.0281,0.011,0.730,0.0325,55,24,18.4,0.9,163,39,618.1
DIC,26,12,0.038,0.0103,0.630,0.0292,43,29,20.3,1.2,183,32,617.7
DIC,26,13,0.0466,0.0109,0.630,0.0278,62,22,21.6,1.3,180,29,616.8
DIC,26,14,0.0465,0.0109,0.540,0.0242,60,24,23.1,1.6,227,26,615.6
DIC,26,15,0.0405,0.0096,0.410,0.021,40,14,24.9,3.1,297,18,614.6
DIC,26,16,0.0303,0.0082,0.280,0.0147,29,NA,25.7,2.8,291,12,614
DIC,26,17,0.0326,0.0082,0.280,0.0142,17,10,25.4,2.2,304,11,613.8
DIC,26,18,0.0304,0.0083,0.340,0.0167,22,10,24.8,1.7,314,13,613.8
DIC,26,19,0.02,0.0083,0.570,0.0285,18,18,22.7,1.5,221,15,614
DIC,26,20,0.0158,0.0083,0.580,0.0312,34,10,20.8,1.4,287,17,614.5
DIC,26,21,0.0132,0.0084,0.630,0.0324,36,13,18.7,0.9,171,18,615
DIC,26,22,0.0085,0.0085,0.730,0.036,38,15,18,0.9,118,19,615.4
DIC,26,23,0.0054,0.0085,0.800,0.0381,35,16,16.3,0.9,132,24,615.7
DIC,27,0,0.0103,0.0085,0.580,0.0318,32,14,15.3,0.8,205,27,616
DIC,27,1,0.0143,0.0083,0.430,0.0253,22,5,14.1,0.2,144,29,615.8
DIC,27,2,0.0131,0.0085,0.460,0.0262,19,7,13.3,0.3,89,31,615.8
DIC,27,3,0.0089,0.0098,0.460,0.0296,19,11,12.4,0.5,178,32,615.7
DIC,27,4,0.0127,0.0088,0.350,0.0229,16,8,11.5,0.6,157,34,615.7
DIC,27,5,0.0142,0.0084,0.290,0.0207,14,8,10.2,0.8,149,36,615.8
DIC,27,6,0.0171,0.0084,0.270,0.0168,13,NA,9.6,0.7,77,36,616
DIC,27,7,0.0152,0.0083,0.330,0.0185,17,9,8.9,0.6,163,39,616.4
DIC,27,8,0.0101,0.0083,0.450,0.0245,22,5,8.9,0.9,215,38,616.9
DIC,27,9,0.0156,0.0083,0.410,0.0197,26,NA,11.7,0.5,221,33,617.3
DIC,27,10,0.0205,0.0085,0.430,0.0195,22,NA,15.9,1.2,205,26,617.7
DIC,27,11,0.0215,0.0096,0.750,0.0365,53,23,17.2,1.1,216,26,617.7
DIC,27,12,0.0319,0.0088,0.450,0.0234,33,13,19.1,1,209,22,617.3
DIC,27,13,0.0361,0.0088,0.360,0.0203,22,NA,21.2,1.2,214,19,616.7
DIC,27,14,0.0368,0.0087,0.310,0.0165,24,6,22.7,1.4,186,16,615.8
DIC,27,15,0.0359,0.0085,0.290,0.0145,17,NA,23.7,0.9,158,14,615
DIC,27,16,0.0394,0.0085,0.300,0.0134,19,3,24.6,0.9,213,13,614.5
DIC,27,17,0.0407,0.0088,0.310,0.0137,17,NA,25,1.3,199,13,614.4
DIC,27,18,0.0382,0.0089,0.470,0.0146,26,13,24.3,0.6,206,13,614.5
DIC,27,19,0.0233,0.0089,0.700,0.0342,35,21,22.1,0.6,142,16,614.8
DIC,27,20,0.0044,0.0094,1.470,0.0512,63,18,19,1.1,245,22,615.2
DIC,27,21,0.0109,0.0088,0.800,0.0389,59,21,17.1,1.5,284,22,615.7
DIC,27,22,0.0173,0.0086,0.590,0.0328,38,16,16.2,1.1,229,22,616
DIC,27,23,0.0206,0.0086,0.470,0.0278,30,12,15.1,0.8,258,23,616.2
DIC,28,0,0.0239,0.0085,0.390,0.0219,24,11,14.3,0.4,118,24,616.4
DIC,28,1,0.0231,0.0087,0.370,0.0213,28,15,13.5,0.2,133,25,616.5
DIC,28,2,0.015,0.0092,0.410,0.0267,26,20,12.5,0.5,110,28,616.6
DIC,28,3,0.0089,0.0097,0.910,0.044,94,27,11.8,1,236,32,616.7
DIC,28,4,0.0074,0.0095,0.590,0.0407,46,45,11,0.7,230,34,616.7
DIC,28,5,0.0174,0.0087,0.410,0.0282,32,14,10.5,0.8,301,33,616.7
DIC,28,6,0.0173,0.0087,0.420,0.026,29,15,10.5,0.4,268,34,616.8
DIC,28,7,0.0141,0.0088,0.520,0.0284,41,10,10.2,0.5,258,36,617.1
DIC,28,8,0.0049,0.0093,0.770,0.0406,60,14,10.4,0.5,95,36,617.5
DIC,28,9,0.0085,0.0098,0.960,0.0391,71,14,12.3,0.2,124,34,618
DIC,28,10,0.0112,0.0107,1.140,0.0438,66,14,15.1,0.9,185,29,618.3
DIC,28,11,0.0185,0.0124,1.170,0.0489,87,21,17.3,2,217,25,618.1
DIC,28,12,0.0287,0.0114,0.660,0.0326,95,29,19.2,1.8,203,23,617.7
DIC,28,13,0.0357,0.0101,0.460,0.0238,61,19,21.3,1.2,200,19,617.1
DIC,28,14,0.045,0.0122,0.450,0.0202,51,9,23.3,1.4,212,16,616.3
DIC,28,15,0.0448,0.0095,0.390,0.0178,44,6,24.7,1.4,226,14,615.5
DIC,28,16,0.0496,0.0115,0.400,0.0164,41,17,25.3,1.1,221,13,615.2
DIC,28,17,0.0503,0.0116,0.390,0.0158,39,11,25.3,1,229,11,615.1
DIC,28,18,0.0481,0.0115,0.450,0.0171,39,19,24.8,0.5,198,11,615.1
DIC,28,19,0.0193,0.012,1.860,0.0559,67,27,22.4,0.5,116,13,615.2
DIC,28,20,0.0026,0.0129,2.900,0.0682,129,45,19.4,0.7,175,21,615.4
DIC,28,21,0.0067,0.0103,1.230,0.0607,93,40,17.1,0.8,184,23,615.9
DIC,28,22,0.0154,0.0101,0.860,0.0495,68,27,16.1,0.8,270,23,616.2
DIC,28,23,0.0209,0.0101,0.730,0.0418,56,21,15.5,0.7,174,23,616.4
DIC,29,0,0.0113,0.0101,0.780,0.0469,57,18,14.5,1.3,246,25,616.5
DIC,29,1,0.0245,0.0102,0.730,0.0357,68,21,13.8,0.7,102,25,616.5
DIC,29,2,0.0028,0.011,1.230,0.0598,124,54,12.7,0.7,203,29,616.7
DIC,29,3,0.0063,0.01,0.830,0.0545,83,56,11.8,1.1,305,31,616.3
DIC,29,4,0.0198,0.0095,0.500,0.0323,51,28,10.7,0.8,255,30,616.1
DIC,29,5,0.022,0.0094,0.440,0.026,45,17,10,0.7,249,31,616.3
DIC,29,6,0.0217,0.0094,0.400,0.0226,34,22,9.5,0.9,217,33,616.6
DIC,29,7,0.0161,0.0089,0.430,0.0244,35,12,9.3,0.6,214,34,617
DIC,29,8,0.0101,0.0105,0.630,0.033,47,14,9.2,0.4,166,33,617.3
DIC,29,9,0.008,0.0099,0.960,0.0358,66,NA,12.1,0.4,205,29,617.6
DIC,29,10,0.0159,0.0102,0.940,0.0349,61,10,15.8,1,175,22,617.8
DIC,29,11,0.0222,0.0112,0.980,0.0449,101,18,17.4,1,190,21,617.8
DIC,29,12,0.0289,0.012,0.830,0.041,100,33,19.1,1.2,173,23,617.4
DIC,29,13,0.0345,0.0114,0.530,0.031,122,21,20.9,1.8,197,25,616.5
DIC,29,14,0.0441,0.0111,0.490,0.0217,62,18,22.2,1.6,197,25,615.4
DIC,29,15,0.0436,0.0111,0.480,0.0213,54,20,23.4,1.6,205,25,614.6
DIC,29,16,0.0408,0.0102,0.440,0.0206,45,21,24.2,1.4,197,23,614.2
DIC,29,17,0.0376,0.0095,0.440,0.0203,38,9,24.5,2.3,203,22,613.9
DIC,29,18,0.0331,0.0094,0.520,0.0233,54,19,23.8,1.7,211,21,613.8
DIC,29,19,0.0215,0.0093,0.870,0.0408,78,22,21.7,1.1,210,24,614
DIC,29,20,0.0044,0.0113,1.550,0.0672,123,37,20,0.5,187,26,614.4
DIC,29,21,0.0039,0.0109,1.810,0.0726,105,49,19,0.5,137,27,614.7
DIC,29,22,0.0025,0.0123,2.590,0.0741,154,45,17.5,0.6,155,31,615.1
DIC,29,23,0.0037,0.0105,1.430,0.068,79,46,16.7,0.7,117,33,615.3
DIC,30,0,0.0096,0.0096,0.810,0.0521,51,28,15.3,0.8,229,39,615.3
DIC,30,1,0.018,0.0095,0.540,0.0362,37,25,14.6,0.6,75,43,615.3
DIC,30,2,0.0159,0.0093,0.460,0.0336,32,24,13.2,0.6,58,49,615.2
DIC,30,3,0.0194,0.0092,0.370,0.0282,29,18,12.1,0.7,88,51,614.9
DIC,30,4,0.0216,0.0091,0.320,0.0238,21,14,11,0.8,249,52,614.6
DIC,30,5,0.0212,0.009,0.310,0.0221,23,11,10.9,0.6,131,52,614.6
DIC,30,6,0.0175,0.009,0.370,0.0239,20,13,10.5,0.6,210,54,614.6
DIC,30,7,0.0153,0.0089,0.400,0.0254,25,21,10,0.6,105,56,614.6
DIC,30,8,0.007,0.009,0.710,0.0396,46,22,9.8,0.3,162,57,614.8
DIC,30,9,0.0075,0.0094,1.050,0.0405,59,19,12.8,0.7,164,48,615.1
DIC,30,10,0.0136,0.0096,0.960,0.0404,53,39,16.1,1.2,173,40,615.1
DIC,30,11,0.0248,0.0094,0.640,0.0329,140,44,17.3,2.2,217,36,615
DIC,30,12,0.0307,0.0093,0.370,0.0211,54,35,18.7,2.7,230,32,614.4
DIC,30,13,0.0317,0.0093,0.360,0.0189,95,26,20.5,3.2,215,27,613.4
DIC,30,14,0.0317,0.0092,0.380,0.0189,94,21,21.4,3.2,231,25,612.5
DIC,30,15,0.0334,0.0091,0.380,0.0185,87,33,22,3.6,221,22,611.7
DIC,30,16,0.0302,0.009,0.400,0.0186,92,43,22.1,3.9,211,22,611.4
DIC,30,17,0.0285,0.0089,0.430,0.018,81,30,21.4,3.4,210,22,611.3
DIC,30,18,0.0249,0.0088,0.490,0.0196,73,29,20.5,3.1,202,24,611.2
DIC,30,19,0.0203,0.0088,0.490,0.0224,53,31,18.5,2.9,208,30,611.3
DIC,30,20,0.0168,0.0092,0.560,0.0257,45,31,17,2.7,230,34,611.6
DIC,30,21,0.0194,0.0089,0.410,0.0218,37,17,16.1,2.8,216,38,611.8
DIC,30,22,0.0211,0.0088,0.370,0.0188,46,16,15.5,1.8,226,44,612
DIC,30,23,0.0198,0.0089,0.360,0.019,16,18,14.7,2.6,207,51,612.2
DIC,31,0,0.0202,0.0087,0.330,0.0179,19,13,14.3,2.1,204,52,612.1
DIC,31,1,0.0209,0.0084,0.290,0.0157,19,13,13.7,1.5,199,52,612.1
DIC,31,2,0.0193,0.0084,0.260,0.0154,22,11,12.7,1.2,178,49,612.1
DIC,31,3,0.0185,0.0083,0.220,0.0139,21,8,12.1,1.5,191,39,611.9
DIC,31,4,0.0186,0.0083,0.210,0.0127,11,11,11.5,1,168,42,611.8
DIC,31,5,0.0175,0.0082,0.220,0.0124,21,4,11.4,0.9,168,43,611.8
DIC,31,6,0.0159,0.0083,0.260,0.0132,11,7,11.2,0.5,159,45,611.8
DIC,31,7,0.0128,0.0083,0.560,0.0185,10,7,11,0.7,156,49,612
DIC,31,8,0.0089,0.0085,0.500,0.0228,15,5,11,0.6,192,52,612.4
DIC,31,9,0.0086,0.0087,0.550,0.0254,25,8,12.2,2.1,213,51,612.9
DIC,31,10,0.0149,0.0086,0.420,0.0186,17,NA,12.8,2.5,265,55,613.3
DIC,31,11,0.0191,0.0085,0.330,0.0147,21,6,13.2,2.6,245,56,613.5
DIC,31,12,0.0235,0.0084,0.360,0.0142,23,NA,14.9,3,239,44,613.2
DIC,31,13,0.0277,0.0084,0.340,0.0137,30,NA,16.4,2.9,242,38,612.5
DIC,31,14,0.0302,0.0084,0.340,0.0135,34,NA,17.8,3,243,32,611.7
DIC,31,15,0.0336,0.0084,0.340,0.0134,35,4,18.7,2.8,250,28,611.2
DIC,31,16,0.0342,0.0084,0.360,0.014,38,5,19.5,3,256,26,611
DIC,31,17,0.037,0.0083,0.360,0.0142,37,9,19.6,2.2,245,25,611.2
DIC,31,18,0.0352,0.0084,0.410,0.0149,38,15,19.1,1.5,244,25,611.4
DIC,31,19,0.0302,0.0085,0.510,0.0191,43,21,17.4,1.4,220,28,611.8
DIC,31,20,0.0196,0.0087,0.660,0.0302,47,24,16,1.1,224,33,612.3
DIC,31,21,0.012,0.0089,0.690,0.0338,45,21,14.9,1,209,40,612.9
DIC,31,22,0.0088,0.0088,0.820,0.0386,53,17,14.1,0.6,237,44,613.2
DIC,31,23,0.0076,0.0088,0.970,0.0396,86,33,12.9,0.1,216,48,613.5
