DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,1,0,NA,NA,0.006,24
NOVIEMBRE,1,1,NA,NA,0.006,24
NOVIEMBRE,1,2,NA,NA,0.006,17
NOVIEMBRE,1,3,NA,NA,0.006,14
NOVIEMBRE,1,4,NA,NA,0.006,15
NOVIEMBRE,1,5,NA,NA,0.006,17
NOVIEMBRE,1,6,NA,NA,0.006,15
NOVIEMBRE,1,7,NA,NA,0.006,16
NOVIEMBRE,1,8,NA,NA,0.006,19
NOVIEMBRE,1,9,NA,NA,0.006,27
NOVIEMBRE,1,10,NA,NA,0.006,32
NOVIEMBRE,1,11,NA,NA,0.006,35
NOVIEMBRE,1,12,NA,NA,0.006,36
NOVIEMBRE,1,13,NA,NA,0.006,30
NOVIEMBRE,1,14,NA,NA,0.006,27
NOVIEMBRE,1,15,NA,NA,0.006,25
NOVIEMBRE,1,16,NA,NA,0.006,23
NOVIEMBRE,1,17,NA,NA,0.006,22
NOVIEMBRE,1,18,NA,NA,0.006,21
NOVIEMBRE,1,19,NA,NA,0.006,25
NOVIEMBRE,1,20,NA,NA,0.006,28
NOVIEMBRE,1,21,NA,NA,0.006,28
NOVIEMBRE,1,22,NA,NA,0.006,28
NOVIEMBRE,1,23,NA,NA,0.006,39
NOVIEMBRE,2,0,NA,NA,0.006,36
NOVIEMBRE,2,1,NA,NA,0.006,26
NOVIEMBRE,2,2,NA,NA,0.006,19
NOVIEMBRE,2,3,NA,NA,0.006,13
NOVIEMBRE,2,4,NA,NA,0.006,9
NOVIEMBRE,2,5,NA,NA,0.006,8
NOVIEMBRE,2,6,NA,NA,0.006,8
NOVIEMBRE,2,7,NA,NA,0.006,14
NOVIEMBRE,2,8,NA,NA,0.006,19
NOVIEMBRE,2,9,NA,NA,0.006,20
NOVIEMBRE,2,10,NA,NA,0.006,23
NOVIEMBRE,2,11,NA,NA,0.006,27
NOVIEMBRE,2,12,NA,NA,0.006,34
NOVIEMBRE,2,13,NA,NA,0.006,43
NOVIEMBRE,2,14,NA,NA,0.006,51
NOVIEMBRE,2,15,NA,NA,0.006,54
NOVIEMBRE,2,16,NA,NA,0.006,49
NOVIEMBRE,2,17,NA,NA,0.006,41
NOVIEMBRE,2,18,NA,NA,0.006,44
NOVIEMBRE,2,19,NA,NA,0.006,40
NOVIEMBRE,2,20,NA,NA,0.006,32
NOVIEMBRE,2,21,NA,NA,0.006,32
NOVIEMBRE,2,22,NA,NA,0.006,28
NOVIEMBRE,2,23,NA,NA,0.006,26
NOVIEMBRE,3,0,NA,NA,0.006,37
NOVIEMBRE,3,1,NA,NA,0.006,41
NOVIEMBRE,3,2,NA,NA,0.007,34
NOVIEMBRE,3,3,NA,NA,0.007,31
NOVIEMBRE,3,4,NA,NA,0.007,28
NOVIEMBRE,3,5,NA,NA,0.007,28
NOVIEMBRE,3,6,NA,NA,0.007,23
NOVIEMBRE,3,7,NA,NA,0.007,28
NOVIEMBRE,3,8,NA,NA,0.007,37
NOVIEMBRE,3,9,NA,NA,0.008,96
NOVIEMBRE,3,10,NA,NA,0.008,111
NOVIEMBRE,3,11,NA,NA,0.008,98
NOVIEMBRE,3,12,NA,NA,0.008,85
NOVIEMBRE,3,13,NA,NA,0.008,67
NOVIEMBRE,3,14,NA,NA,0.008,58
NOVIEMBRE,3,15,NA,NA,0.008,47
NOVIEMBRE,3,16,NA,NA,0.008,37
NOVIEMBRE,3,17,NA,NA,0.008,33
NOVIEMBRE,3,18,NA,NA,0.008,30
NOVIEMBRE,3,19,NA,NA,0.008,29
NOVIEMBRE,3,20,NA,NA,0.008,31
NOVIEMBRE,3,21,NA,NA,0.008,35
NOVIEMBRE,3,22,NA,NA,0.008,37
NOVIEMBRE,3,23,NA,NA,0.008,32
NOVIEMBRE,4,0,NA,NA,0.008,41
NOVIEMBRE,4,1,NA,NA,0.008,40
NOVIEMBRE,4,2,NA,NA,0.008,33
NOVIEMBRE,4,3,NA,NA,0.008,27
NOVIEMBRE,4,4,NA,NA,0.008,21
NOVIEMBRE,4,5,NA,NA,0.008,21
NOVIEMBRE,4,6,NA,NA,0.008,17
NOVIEMBRE,4,7,NA,NA,0.008,17
NOVIEMBRE,4,8,NA,NA,0.008,23
NOVIEMBRE,4,9,NA,NA,0.008,35
NOVIEMBRE,4,10,NA,NA,0.008,46
NOVIEMBRE,4,11,NA,NA,0.007,51
NOVIEMBRE,4,12,NA,NA,0.007,46
NOVIEMBRE,4,13,NA,NA,0.007,38
NOVIEMBRE,4,14,NA,NA,0.007,32
NOVIEMBRE,4,15,NA,NA,0.007,29
NOVIEMBRE,4,16,NA,NA,0.007,28
NOVIEMBRE,4,17,NA,NA,0.007,24
NOVIEMBRE,4,18,NA,NA,0.007,20
NOVIEMBRE,4,19,NA,NA,0.007,19
NOVIEMBRE,4,20,NA,NA,0.007,24
NOVIEMBRE,4,21,NA,NA,0.007,26
NOVIEMBRE,4,22,NA,NA,0.007,25
NOVIEMBRE,4,23,NA,NA,0.006,25
NOVIEMBRE,5,0,NA,NA,0.006,23
NOVIEMBRE,5,1,NA,NA,0.006,38
NOVIEMBRE,5,2,NA,NA,0.006,42
NOVIEMBRE,5,3,NA,NA,0.006,40
NOVIEMBRE,5,4,NA,NA,0.007,36
NOVIEMBRE,5,5,NA,NA,0.007,32
NOVIEMBRE,5,6,NA,NA,0.007,29
NOVIEMBRE,5,7,NA,NA,0.007,24
NOVIEMBRE,5,8,NA,NA,0.007,24
NOVIEMBRE,5,9,NA,NA,0.007,#¡VALOR!
NOVIEMBRE,5,10,NA,NA,0.007,#¡VALOR!
NOVIEMBRE,5,11,NA,NA,0.007,43
NOVIEMBRE,5,12,NA,NA,0.007,34
NOVIEMBRE,5,13,NA,NA,0.007,27
NOVIEMBRE,5,14,NA,NA,0.007,24
NOVIEMBRE,5,15,NA,NA,0.007,22
NOVIEMBRE,5,16,NA,NA,0.007,20
NOVIEMBRE,5,17,NA,NA,0.008,20
NOVIEMBRE,5,18,NA,NA,0.008,17
NOVIEMBRE,5,19,NA,NA,0.008,19
NOVIEMBRE,5,20,NA,NA,0.008,30
NOVIEMBRE,5,21,NA,NA,0.008,32
NOVIEMBRE,5,22,NA,NA,0.008,31
NOVIEMBRE,5,23,NA,NA,0.008,30
NOVIEMBRE,6,0,NA,NA,0.009,23
NOVIEMBRE,6,1,NA,NA,0.009,35
NOVIEMBRE,6,2,NA,NA,0.009,40
NOVIEMBRE,6,3,NA,NA,0.009,33
NOVIEMBRE,6,4,NA,NA,0.009,25
NOVIEMBRE,6,5,NA,NA,0.009,22
NOVIEMBRE,6,6,NA,NA,0.008,21
NOVIEMBRE,6,7,NA,NA,0.008,20
NOVIEMBRE,6,8,NA,NA,0.008,23
NOVIEMBRE,6,9,NA,NA,0.008,33
NOVIEMBRE,6,10,NA,NA,0.008,33
NOVIEMBRE,6,11,NA,NA,0.008,58
NOVIEMBRE,6,12,NA,NA,0.008,55
NOVIEMBRE,6,13,NA,NA,0.008,55
NOVIEMBRE,6,14,NA,NA,0.008,40
NOVIEMBRE,6,15,NA,NA,0.008,33
NOVIEMBRE,6,16,NA,NA,0.008,35
NOVIEMBRE,6,17,NA,NA,0.009,34
NOVIEMBRE,6,18,NA,NA,0.009,34
NOVIEMBRE,6,19,NA,NA,0.008,42
NOVIEMBRE,6,20,NA,NA,0.009,81
NOVIEMBRE,6,21,NA,NA,0.009,87
NOVIEMBRE,6,22,NA,NA,0.009,74
NOVIEMBRE,6,23,NA,NA,0.009,62
NOVIEMBRE,7,0,NA,NA,0.009,49
NOVIEMBRE,7,1,NA,NA,0.009,54
NOVIEMBRE,7,2,NA,NA,0.009,74
NOVIEMBRE,7,3,NA,NA,0.009,71
NOVIEMBRE,7,4,NA,NA,0.009,60
NOVIEMBRE,7,5,NA,NA,0.009,53
NOVIEMBRE,7,6,NA,NA,0.009,47
NOVIEMBRE,7,7,NA,NA,0.009,50
NOVIEMBRE,7,8,NA,NA,0.010,61
NOVIEMBRE,7,9,NA,NA,0.010,76
NOVIEMBRE,7,10,NA,NA,0.010,75
NOVIEMBRE,7,11,NA,NA,0.010,95
NOVIEMBRE,7,12,NA,NA,0.010,86
NOVIEMBRE,7,13,NA,NA,0.010,62
NOVIEMBRE,7,14,NA,NA,0.010,51
NOVIEMBRE,7,15,NA,NA,0.010,45
NOVIEMBRE,7,16,NA,NA,0.010,39
NOVIEMBRE,7,17,NA,NA,0.010,40
NOVIEMBRE,7,18,NA,NA,0.010,35
NOVIEMBRE,7,19,NA,NA,0.010,40
NOVIEMBRE,7,20,NA,NA,0.010,55
NOVIEMBRE,7,21,NA,NA,0.010,57
NOVIEMBRE,7,22,NA,NA,0.010,57
NOVIEMBRE,7,23,NA,NA,0.010,59
NOVIEMBRE,8,0,NA,NA,0.010,64
NOVIEMBRE,8,1,NA,NA,0.010,85
NOVIEMBRE,8,2,NA,NA,0.010,80
NOVIEMBRE,8,3,NA,NA,0.010,62
NOVIEMBRE,8,4,NA,NA,0.010,62
NOVIEMBRE,8,5,NA,NA,0.010,53
NOVIEMBRE,8,6,NA,NA,0.010,43
NOVIEMBRE,8,7,NA,NA,0.009,37
NOVIEMBRE,8,8,NA,NA,0.009,44
NOVIEMBRE,8,9,NA,NA,0.009,57
NOVIEMBRE,8,10,NA,NA,0.009,56
NOVIEMBRE,8,11,NA,NA,0.009,56
NOVIEMBRE,8,12,NA,NA,0.009,67
NOVIEMBRE,8,13,NA,NA,0.008,58
NOVIEMBRE,8,14,NA,NA,0.008,57
NOVIEMBRE,8,15,NA,NA,0.008,54
NOVIEMBRE,8,16,NA,NA,0.008,53
NOVIEMBRE,8,17,NA,NA,0.008,52
NOVIEMBRE,8,18,NA,NA,0.008,51
NOVIEMBRE,8,19,NA,NA,0.009,55
NOVIEMBRE,8,20,NA,NA,0.009,107
NOVIEMBRE,8,21,NA,NA,0.009,144
NOVIEMBRE,8,22,NA,NA,0.009,146
NOVIEMBRE,8,23,NA,NA,0.009,133
NOVIEMBRE,9,0,NA,NA,0.009,122
NOVIEMBRE,9,1,NA,NA,0.009,95
NOVIEMBRE,9,2,NA,NA,0.009,99
NOVIEMBRE,9,3,NA,NA,0.009,92
NOVIEMBRE,9,4,NA,NA,0.009,73
NOVIEMBRE,9,5,NA,NA,0.009,57
NOVIEMBRE,9,6,NA,NA,0.009,46
NOVIEMBRE,9,7,NA,NA,0.009,60
NOVIEMBRE,9,8,NA,NA,0.009,77
NOVIEMBRE,9,9,NA,NA,0.010,82
NOVIEMBRE,9,10,NA,NA,0.009,95
NOVIEMBRE,9,11,NA,NA,0.009,72
NOVIEMBRE,9,12,NA,NA,0.009,55
NOVIEMBRE,9,13,NA,NA,0.009,46
NOVIEMBRE,9,14,NA,NA,0.009,44
NOVIEMBRE,9,15,NA,NA,0.009,46
NOVIEMBRE,9,16,NA,NA,0.009,44
NOVIEMBRE,9,17,NA,NA,0.009,45
NOVIEMBRE,9,18,NA,NA,0.009,40
NOVIEMBRE,9,19,NA,NA,0.009,46
NOVIEMBRE,9,20,NA,NA,0.008,46
NOVIEMBRE,9,21,NA,NA,0.008,77
NOVIEMBRE,9,22,NA,NA,0.008,65
NOVIEMBRE,9,23,NA,NA,0.007,54
NOVIEMBRE,10,0,NA,NA,0.007,43
NOVIEMBRE,10,1,NA,NA,0.007,44
NOVIEMBRE,10,2,NA,NA,0.007,38
NOVIEMBRE,10,3,NA,NA,0.007,30
NOVIEMBRE,10,4,NA,NA,0.007,32
NOVIEMBRE,10,5,NA,NA,0.007,32
NOVIEMBRE,10,6,NA,NA,0.007,33
NOVIEMBRE,10,7,NA,NA,0.007,35
NOVIEMBRE,10,8,NA,NA,0.007,44
NOVIEMBRE,10,9,NA,NA,0.007,63
NOVIEMBRE,10,10,NA,NA,0.007,70
NOVIEMBRE,10,11,NA,NA,0.007,60
NOVIEMBRE,10,12,NA,NA,0.007,49
NOVIEMBRE,10,13,NA,NA,0.007,43
NOVIEMBRE,10,14,NA,NA,0.007,40
NOVIEMBRE,10,15,NA,NA,0.007,38
NOVIEMBRE,10,16,NA,NA,0.007,35
NOVIEMBRE,10,17,NA,NA,0.007,35
NOVIEMBRE,10,18,NA,NA,0.007,72
NOVIEMBRE,10,19,NA,NA,0.007,49
NOVIEMBRE,10,20,NA,NA,0.007,31
NOVIEMBRE,10,21,NA,NA,0.007,24
NOVIEMBRE,10,22,NA,NA,0.007,18
NOVIEMBRE,10,23,NA,NA,0.007,16
NOVIEMBRE,11,0,NA,NA,0.007,19
NOVIEMBRE,11,1,NA,NA,0.007,21
NOVIEMBRE,11,2,NA,NA,0.007,20
NOVIEMBRE,11,3,NA,NA,0.007,18
NOVIEMBRE,11,4,NA,NA,0.007,19
NOVIEMBRE,11,5,NA,NA,0.007,20
NOVIEMBRE,11,6,NA,NA,0.007,20
NOVIEMBRE,11,7,NA,NA,0.007,24
NOVIEMBRE,11,8,NA,NA,0.007,27
NOVIEMBRE,11,9,NA,NA,0.007,32
NOVIEMBRE,11,10,NA,NA,0.006,39
NOVIEMBRE,11,11,NA,NA,0.006,42
NOVIEMBRE,11,12,NA,NA,0.006,45
NOVIEMBRE,11,13,NA,NA,0.006,44
NOVIEMBRE,11,14,NA,NA,0.006,36
NOVIEMBRE,11,15,NA,NA,0.006,31
NOVIEMBRE,11,16,NA,NA,0.006,28
NOVIEMBRE,11,17,NA,NA,0.006,23
NOVIEMBRE,11,18,NA,NA,0.006,22
NOVIEMBRE,11,19,NA,NA,0.006,21
NOVIEMBRE,11,20,NA,NA,0.006,23
NOVIEMBRE,11,21,NA,NA,0.006,23
NOVIEMBRE,11,22,NA,NA,0.006,26
NOVIEMBRE,11,23,NA,NA,0.006,27
NOVIEMBRE,12,0,NA,NA,0.005,20
NOVIEMBRE,12,1,NA,NA,0.005,16
NOVIEMBRE,12,2,NA,NA,0.005,14
NOVIEMBRE,12,3,NA,NA,0.005,11
NOVIEMBRE,12,4,NA,NA,0.005,8
NOVIEMBRE,12,5,NA,NA,0.005,7
NOVIEMBRE,12,6,NA,NA,0.005,8
NOVIEMBRE,12,7,NA,NA,0.005,7
NOVIEMBRE,12,8,NA,NA,0.005,5
NOVIEMBRE,12,9,NA,NA,0.005,6
NOVIEMBRE,12,10,NA,NA,0.005,8
NOVIEMBRE,12,11,NA,NA,0.005,9
NOVIEMBRE,12,12,NA,NA,0.005,10
NOVIEMBRE,12,13,NA,NA,0.005,11
NOVIEMBRE,12,14,NA,NA,0.005,14
NOVIEMBRE,12,15,NA,NA,0.005,27
NOVIEMBRE,12,16,NA,NA,0.005,27
NOVIEMBRE,12,17,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,18,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,19,NA,NA,0.005,#¡VALOR!
NOVIEMBRE,12,20,NA,NA,0.006,20
NOVIEMBRE,12,21,NA,NA,0.006,28
NOVIEMBRE,12,22,NA,NA,0.006,30
NOVIEMBRE,12,23,NA,NA,0.006,25
NOVIEMBRE,13,0,NA,NA,0.006,19
NOVIEMBRE,13,1,NA,NA,0.006,19
NOVIEMBRE,13,2,NA,NA,0.007,14
NOVIEMBRE,13,3,NA,NA,0.007,11
NOVIEMBRE,13,4,NA,NA,0.007,10
NOVIEMBRE,13,5,NA,NA,0.007,9
NOVIEMBRE,13,6,NA,NA,0.007,9
NOVIEMBRE,13,7,NA,NA,0.007,10
NOVIEMBRE,13,8,NA,NA,0.007,14
NOVIEMBRE,13,9,NA,NA,0.007,21
NOVIEMBRE,13,10,NA,NA,0.007,20
NOVIEMBRE,13,11,NA,NA,0.008,20
NOVIEMBRE,13,12,NA,NA,0.008,24
NOVIEMBRE,13,13,NA,NA,0.008,26
NOVIEMBRE,13,14,NA,NA,0.008,27
NOVIEMBRE,13,15,NA,NA,0.008,32
NOVIEMBRE,13,16,NA,NA,0.008,31
NOVIEMBRE,13,17,NA,NA,0.008,31
NOVIEMBRE,13,18,NA,NA,0.008,37
NOVIEMBRE,13,19,NA,NA,0.008,36
NOVIEMBRE,13,20,NA,NA,0.008,34
NOVIEMBRE,13,21,NA,NA,0.008,31
NOVIEMBRE,13,22,NA,NA,0.008,27
NOVIEMBRE,13,23,NA,NA,0.008,21
NOVIEMBRE,14,0,NA,NA,0.008,17
NOVIEMBRE,14,1,NA,NA,0.007,23
NOVIEMBRE,14,2,NA,NA,0.007,23
NOVIEMBRE,14,3,NA,NA,0.007,20
NOVIEMBRE,14,4,NA,NA,0.007,19
NOVIEMBRE,14,5,NA,NA,0.007,17
NOVIEMBRE,14,6,NA,NA,0.007,15
NOVIEMBRE,14,7,NA,NA,0.007,12
NOVIEMBRE,14,8,NA,NA,0.007,26
NOVIEMBRE,14,9,NA,NA,0.007,30
NOVIEMBRE,14,10,NA,NA,0.007,32
NOVIEMBRE,14,11,NA,NA,0.007,34
NOVIEMBRE,14,12,NA,NA,0.007,34
NOVIEMBRE,14,13,NA,NA,0.007,34
NOVIEMBRE,14,14,NA,NA,0.007,33
NOVIEMBRE,14,15,NA,NA,0.007,30
NOVIEMBRE,14,16,NA,NA,0.007,31
NOVIEMBRE,14,17,NA,NA,0.007,31
NOVIEMBRE,14,18,NA,NA,0.007,28
NOVIEMBRE,14,19,NA,NA,0.007,25
NOVIEMBRE,14,20,NA,NA,0.007,23
NOVIEMBRE,14,21,NA,NA,0.007,28
NOVIEMBRE,14,22,NA,NA,0.007,26
NOVIEMBRE,14,23,NA,NA,0.007,21
NOVIEMBRE,15,0,NA,NA,0.007,26
NOVIEMBRE,15,1,NA,NA,0.007,22
NOVIEMBRE,15,2,NA,NA,0.007,16
NOVIEMBRE,15,3,NA,NA,0.007,13
NOVIEMBRE,15,4,NA,NA,0.007,13
NOVIEMBRE,15,5,NA,NA,0.007,13
NOVIEMBRE,15,6,NA,NA,0.007,12
NOVIEMBRE,15,7,NA,NA,0.007,9
NOVIEMBRE,15,8,NA,NA,0.007,19
NOVIEMBRE,15,9,NA,NA,0.007,37
NOVIEMBRE,15,10,NA,NA,0.007,48
NOVIEMBRE,15,11,NA,NA,0.007,53
NOVIEMBRE,15,12,NA,NA,0.007,48
NOVIEMBRE,15,13,NA,NA,0.007,43
NOVIEMBRE,15,14,NA,NA,0.007,33
NOVIEMBRE,15,15,NA,NA,0.007,33
NOVIEMBRE,15,16,NA,NA,0.007,34
NOVIEMBRE,15,17,NA,NA,0.007,29
NOVIEMBRE,15,18,NA,NA,0.007,23
NOVIEMBRE,15,19,NA,NA,0.007,24
NOVIEMBRE,15,20,NA,NA,0.007,22
NOVIEMBRE,15,21,NA,NA,0.007,23
NOVIEMBRE,15,22,NA,NA,0.007,24
NOVIEMBRE,15,23,NA,NA,0.007,24
NOVIEMBRE,16,0,NA,NA,0.007,24
NOVIEMBRE,16,1,NA,NA,0.007,20
NOVIEMBRE,16,2,NA,NA,0.007,21
NOVIEMBRE,16,3,NA,NA,0.007,24
NOVIEMBRE,16,4,NA,NA,0.007,22
